0.0333	38
0.0667	35
0.1000	36
0.1333	28
0.1667	44
0.2000	49
0.2333	38
0.2667	38
0.3000	33
0.3333	26
0.3667	36
0.4000	38
0.4333	30
0.4667	39
0.5000	50
0.5333	39
0.5667	40
0.6000	45
0.6333	38
0.6667	27
0.7000	29
0.7333	36
0.7667	34
0.8000	44
0.8333	25
0.8667	33
0.9000	30
0.9333	36
0.9667	34
1.0000	29
1.0333	33
1.0667	27
1.1000	26
1.1333	43
1.1667	38
1.2000	23
1.2333	30
1.2667	43
1.3000	28
1.3333	34
1.3667	34
1.4000	23
1.4333	37
1.4667	32
1.5000	27
1.5333	21
1.5667	33
1.6000	25
1.6333	30
1.6667	23
1.7000	30
1.7333	29
1.7667	18
1.8000	24
1.8333	33
1.8667	32
1.9000	23
1.9333	36
1.9667	20
2.0000	23
2.0333	32
2.0667	34
2.1000	20
2.1333	28
2.1667	26
2.2000	19
2.2333	28
2.2667	28
2.3000	24
2.3333	22
2.3667	25
2.4000	20
2.4333	31
2.4667	22
2.5000	19
2.5333	19
2.5667	17
2.6000	15
2.6333	21
2.6667	23
2.7000	20
2.7333	14
2.7667	21
2.8000	21
2.8333	22
2.8667	24
2.9000	26
2.9333	17
2.9667	19
3.0000	21
3.0333	18
3.0667	23
3.1000	17
3.1333	27
3.1667	16
3.2000	23
3.2333	25
3.2667	20
3.3000	21
3.3333	19
3.3667	21
3.4000	19
3.4333	14
3.4667	14
3.5000	16
3.5333	16
3.5667	22
3.6000	11
3.6333	20
3.6667	17
3.7000	15
3.7333	23
3.7667	19
3.8000	19
3.8333	16
3.8667	17
3.9000	12
3.9333	11
3.9667	16
4.0000	14
4.0333	17
4.0667	22
4.1000	25
4.1333	17
4.1667	18
4.2000	11
4.2333	18
4.2667	12
4.3000	13
4.3333	19
4.3667	11
4.4000	23
4.4333	6
4.4667	10
4.5000	9
4.5333	13
4.5667	13
4.6000	14
4.6333	14
4.6667	14
4.7000	16
4.7333	14
4.7667	12
4.8000	9
4.8333	14
4.8667	15
4.9000	17
4.9333	13
4.9667	8
5.0000	9
5.0333	12
5.0667	8
5.1000	6
5.1333	8
5.1667	13
5.2000	9
5.2333	9
5.2667	10
5.3000	12
5.3333	11
5.3667	12
5.4000	13
5.4333	11
5.4667	5
5.5000	11
5.5333	9
5.5667	9
5.6000	15
5.6333	9
5.6667	16
5.7000	4
5.7333	11
5.7667	16
5.8000	6
5.8333	10
5.8667	5
5.9000	8
5.9333	13
5.9667	8
6.0000	9
6.0333	6
6.0667	9
6.1000	10
6.1333	10
6.1667	8
6.2000	11
6.2333	14
6.2667	7
6.3000	10
6.3333	4
6.3667	6
6.4000	12
6.4333	5
6.4667	7
6.5000	8
6.5333	6
6.5667	10
6.6000	4
6.6333	4
6.6667	11
6.7000	4
6.7333	7
6.7667	11
6.8000	4
6.8333	12
6.8667	4
6.9000	10
6.9333	9
6.9667	9
7.0000	9
7.0333	5
7.0667	6
7.1000	8
